Authors,Title,Year,Journal,Volume,Issue,Art. No.,Page start,Page end,Page count,DOI,Link
"Marques G.N., Reis R.Y.N., Ribeiro L.K., Simões L.G.P., Minozzi D.T., Andrés J., Assis M., Mascaro L.H., Longo E.","Antiviral leather: A functional coating based on SiO2-AgNPs to eliminate pathogens",2023,"Journal of Environmental Chemical Engineering","11","5","110919","","",,"10.1016/j.jece.2023.110919","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85170645085&doi=10.1016%2fj.jece.2023.110919&partnerID=40&md5=13cb9d64009e12c1fa8c3d1c6bd0b3c7"
"Araujo M.D.S., dos Santos H.L.S., Medina M., Salomao A.C., Mascaro L.H., Andrade M.A.S., Jr.","Vanquishing CZTSSe deep defects to enhance photoelectrocatalytic water splitting",2023,"Electrochimica Acta","464",,"142935","","",,"10.1016/j.electacta.2023.142935","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85166231027&doi=10.1016%2fj.electacta.2023.142935&partnerID=40&md5=b18212cf76cb60ab420db400e97a9c09"
"Corradini P.G., Brito J.F.D., Blaskievicz S.F., Salvati B.S., Menezes B.C.E.S., Zanoni M.V.B., Mascaro L.H.","Contribution of CuO on lamellar BiVO4/Bi2O3-based semiconductor for photoconversion of CO2",2023,"Journal of Photochemistry and Photobiology A: Chemistry","444",,"114901","","",,"10.1016/j.jphotochem.2023.114901","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85161357613&doi=10.1016%2fj.jphotochem.2023.114901&partnerID=40&md5=47f36ebb80f7af1640dd7dc4160ce690"
"de A.M. Rezende M., Corradini P.G., Sales A., Mascaro L.H.","Electrochemical study on the chloride corrosion susceptibility of cementitious composites produced with sugarcane bagasse ash sand",2023,"Construction and Building Materials","397",,"132341","","",,"10.1016/j.conbuildmat.2023.132341","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85164735229&doi=10.1016%2fj.conbuildmat.2023.132341&partnerID=40&md5=6041e7d49adf4ef88407a2e9f8c54b15"
"Libero L.O., Ribeiro L.K., Granone L.I., Churio M.S., Souza J.C., Mastelaro V.R., Andrés J., Longo E., Mascaro L.H., Assis M.","Introducing Structural Diversity: Fe2(MoO4)3 Immobilized in Chitosan Films as an Efficient Catalyst for the Selective Oxidation of Sulfides to Sulfones",2023,"ChemCatChem","15","10","e202300421","","",,"10.1002/cctc.202300421","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85153261210&doi=10.1002%2fcctc.202300421&partnerID=40&md5=4f061673b830e22d89820c2cde3a2d94"
"Blaskievicz S.F., Freitas Teixeira I., Mascaro L.H., Ferreira de Brito J.","Direct Z-scheme among Niobium Pentoxide and Poly(heptazine imide) for NH3 Photoelectrosynthesis under Ambient Conditions",2023,"ChemCatChem","15","5","e202201610","","",,"10.1002/cctc.202201610","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85146803239&doi=10.1002%2fcctc.202201610&partnerID=40&md5=61c7b894df16984fe52af67a0e8c40b6"
"Assis M., Gouveia A.F., Ribeiro L.K., Ponce M.A., Churio M.S., Oliveira O.N., Jr., Mascaro L.H., Longo E., Llusar R., Guillamón E., Andrés J.","Towards an efficient selective oxidation of sulfides to sulfones by NiWO4 and α-Ag2WO4",2023,"Applied Catalysis A: General","652",,"119038","","",,"10.1016/j.apcata.2023.119038","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85146706622&doi=10.1016%2fj.apcata.2023.119038&partnerID=40&md5=63a60960fac8107d0a21daea63172685"
"Gonzaga I.M.D., Almeida C.V.S., Mascaro L.H.","A Critical Review of Photo-Based Advanced Oxidation Processes to Pharmaceutical Degradation",2023,"Catalysts","13","2","221","","",,"10.3390/catal13020221","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85148868787&doi=10.3390%2fcatal13020221&partnerID=40&md5=8dc2ee470ed86bb2a760b5adcdee8399"
"Moreira A.J., Dos Santos B.R.M., Dias J.A., Rabello P.T., Coelho D., Mascaro L.H., Freschi G.P.G., Gobato Y.G., Galeti H.V.A., Mastelaro V.R., Pereira E.C.","Photoactivity of boron-or nitrogen-modified TiO2for organic pollutants degradation: Unveiling the photocatalytic mechanisms and by-products",2023,"Journal of Environmental Chemical Engineering","11","1","109207","","",,"10.1016/j.jece.2022.109207","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85145874663&doi=10.1016%2fj.jece.2022.109207&partnerID=40&md5=35de2da90c2b92aedf41c1aeda08adfc"
"Blaskievicz S.F., Salvati B.S., Correa A.A., Mascaro L.H.","Photoelectrochemical Biosensors",2023,"Handbook of II-VI Semiconductor-Based Sensors and Radiation Detectors: Sensors, Biosensors and Radiation Detectors: Vol. 3","3",,,"567","588",,"10.1007/978-3-031-24000-3_22","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85171010900&doi=10.1007%2f978-3-031-24000-3_22&partnerID=40&md5=5ecf1109b42998b22fd3ea5133047de5"
"Rezende M.A.M., Gromboni P.P., Corradini P.G., Sales A., Mascaro L.H.","Evaluation of Reinforcement Corrosion in Cementitious Composites Modified with Water Treatment Sludge",2023,"Journal of the Brazilian Chemical Society","34","8",,"1100","1108",,"10.21577/0103-5053.20230023","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85164701738&doi=10.21577%2f0103-5053.20230023&partnerID=40&md5=75504a4b9d67409edbeec54ea678304d"
"Assis M., Ribeiro L.K., Gonçalves M.O., Staffa L.H., Paiva R.S., Lima L.R., Coelho D., Almeida L.F., Moraes L.N., Rosa I.L.V., Mascaro L.H., Grotto R.M.T., Sousa C.P., Andrés J., Longo E., Cruz S.A.","Polypropylene Modified with Ag-Based Semiconductors as a Potential Material against SARS-CoV-2 and Other Pathogens",2022,"ACS Applied Polymer Materials","4","10",,"7102","7114",,"10.1021/acsapm.2c00744","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85139369448&doi=10.1021%2facsapm.2c00744&partnerID=40&md5=8fb2f3a51e3fde353e04b2f9641fb42a"
"Costa M.B., de Araújo M.A., Tinoco M.V.D.L., Brito J.F.D., Mascaro L.H.","Current trending and beyond for solar-driven water splitting reaction on WO3 photoanodes",2022,"Journal of Energy Chemistry","73",,,"88","113",,"10.1016/j.jechem.2022.06.003","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85133724746&doi=10.1016%2fj.jechem.2022.06.003&partnerID=40&md5=f59333d2c954166504ff1ea5e9a94746"
"de Brito J.F., Costa M.B., Rajeshwar K., Mascaro L.H.","Ammonia production from nitrogen under simulated solar irradiation, low overpotential, and mild conditions",2022,"Electrochimica Acta","421",,"140475","","",,"10.1016/j.electacta.2022.140475","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85129723964&doi=10.1016%2fj.electacta.2022.140475&partnerID=40&md5=65dabce7104c61dc5de443f3e5af5ad5"
"Coelho D., Gaudêncio J.P.R.S., Mascaro L.H.","Boosting the Photocurrent of the WO3/BiVO4Heterojunction by Photoelectrodeposition of the Oxy-Hydroxide-Phosphates Based on Co, Fe, or Ni",2022,"Journal of the Brazilian Chemical Society","33","7",,"743","752",,"10.21577/0103-5053.20220015","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85139781060&doi=10.21577%2f0103-5053.20220015&partnerID=40&md5=57fbbf45d0c0b13e184ff9b785584f71"
"Reis R.Y.N., Goulart L.A., Mascaro L.H., Alves S.A.","A critical view of the contributions of photoelectrochemical technology to pharmaceutical degradation",2022,"Journal of Environmental Chemical Engineering","10","3","107859","","",,"10.1016/j.jece.2022.107859","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85130566385&doi=10.1016%2fj.jece.2022.107859&partnerID=40&md5=1d64ea3416bed35f0209570db9a7196b"
"Blaskievicz S.F., Santos H.L.S., Teixeira I.F., Bott-Neto J.L., Fernández P.S., Mascaro L.H.","Nickel-modified polymeric carbon nitride for improving TiO2-based photoanode: photoelectrocatalytical evaluation and mechanistical insights",2022,"Materials Today Nano","18",,"100192","","",,"10.1016/j.mtnano.2022.100192","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85126965048&doi=10.1016%2fj.mtnano.2022.100192&partnerID=40&md5=3a9f2b708e3f6875a79751b3ccbbf77b"
"Moreira A.J., Coelho D., Dias J.A., Mascaro L.H., Freschi G.P.G., Mastelaro V.R., Pereira E.C.","Phase control and optimization of photocatalytical properties of samarium doped TiO2 synthesized by coupled ultraviolet and microwave radiations",2022,"Journal of Alloys and Compounds","905",,"164217","","",,"10.1016/j.jallcom.2022.164217","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85124583330&doi=10.1016%2fj.jallcom.2022.164217&partnerID=40&md5=cffc8b6fd4f5c6a70dcf5c78c9ffd7c8"
"Lima A.E.B., Assis M., Resende A.L.S., Santos H.L.S., Mascaro L.H., Longo E., Santos R.S., Cavalcante L.S., Luz G.E., Jr.","CuWO4|MnWO4 heterojunction thin film with improved photoelectrochemical and photocatalytic properties using simulated solar irradiation",2022,"Journal of Solid State Electrochemistry","26","4",,"997","1011",,"10.1007/s10008-022-05143-9","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85125407448&doi=10.1007%2fs10008-022-05143-9&partnerID=40&md5=ee2df2d54c25270c261f8bee6298a0e6"
"Moreira A.J., Lemos S.G., Coelho D., Mascaro L.H., Freschi G.P.G., Pereira E.C.","UV–Vis spectrophotometry coupled to chemometric analysis for the performance evaluation of atrazine photolysis and photocatalysis",2022,"Environmental Science and Pollution Research","29","16",,"24010","24023",,"10.1007/s11356-021-17687-w","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85120621166&doi=10.1007%2fs11356-021-17687-w&partnerID=40&md5=0feff9a3f5264d76ba5b803d6d163acf"
"Gromboni M.F., Cordeiro-Junior P.J.M., Corradini P.G., Mascaro L.H., Lanza M.R.d.V.","One-step preparation of Co2V2O7: synthesis and application as a Fenton-like catalyst in a gas diffusion electrode",2022,"Physical Chemistry Chemical Physics","24","17",,"10249","10262",,"10.1039/d2cp00072e","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85129720877&doi=10.1039%2fd2cp00072e&partnerID=40&md5=5a7929596027df35eaa814a6d1547914"
"Brito J.F.D., Andrade M.A.S., Jr, Zanoni M.V.B., Mascaro L.H.","All-solution processed CuGaS2-based photoelectrodes for CO2 reduction",2022,"Journal of CO2 Utilization","57",,"101902","","",,"10.1016/j.jcou.2022.101902","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85123029939&doi=10.1016%2fj.jcou.2022.101902&partnerID=40&md5=528a9e274d25312a8425053792cfb0b5"
"Medina M., Corradini P.G., De Brito J.F., Sousa Santos H.L., Mascaro L.H.","The Substrate Morphology Effect for Sulfur-Rich Amorphous Molybdenum Sulfide for Electrochemical Hydrogen Evolution Reaction",2022,"Journal of the Electrochemical Society","169","2","026519","","",,"10.1149/1945-7111/ac5067","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85125721467&doi=10.1149%2f1945-7111%2fac5067&partnerID=40&md5=c16e89626b36261ee301b244e818eb22"
"de Araújo M.A., Costa M.B., Mascaro L.H.","Improved Photoelectrochemical Hydrogen Gas Generation on Sb2S3 Films Modified with an Earth-Abundant MoSx Co-Catalyst",2022,"ACS Applied Energy Materials","5","1",,"1010","1022",,"10.1021/acsaem.1c03374","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85123926711&doi=10.1021%2facsaem.1c03374&partnerID=40&md5=d11a42f180a62a278ba9e12f2edb0cbe"
"de Brito J.F., Blaskievicz S.F., Medina M., Silva A.B., de L. Tinoco M.V., Mascaro L.H.","NH3 Synthesis by Electrochemical Process Under Ambient Condition",2022,"Engineering Materials",,,,"307","336",,"10.1007/978-3-031-07622-0_12","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85138195770&doi=10.1007%2f978-3-031-07622-0_12&partnerID=40&md5=cf2a256101c6906ccae129a7b86223b2"
